Date,Open,High,Low,Close,Adj Close,Volume
12/1/2020,3162.5,3437.5,3100,3162.5,2642.1,2169395400
1/1/2021,3162.5,3725,3112.5,3287.5,2746.53,2594266000
2/1/2021,3325,3400,3050,3075,2569,2383024400
3/1/2021,3112.5,3425,3062.5,3075,2569,2358185800
4/1/2021,3125,3275,2975,3087.5,2667.46,1620743800
5/1/2021,3050,3075,2800,3000,2591.87,1526738600
6/1/2021,3000,3175,2837.5,2950,2548.67,1968827600
7/1/2021,2975,3050,2825,2850,2462.28,1349325400
8/1/2021,2887.5,3087.5,2812.5,3050,2635.07,1452176000
9/1/2021,3050,3175,2950,3075,2656.67,1541881600
10/1/2021,3075,3662.5,3025,3587.5,3099.44,2592267200
11/1/2021,3625,3750,3425,3500,3023.85,1888179800
12/1/2021,3500,3675,3475,3512.5,3034.65,1233945400
1/1/2022,3550,3887.5,3462.5,3737.5,3229.04,1448451200
2/1/2022,3737.5,3975,3675,3850,3326.23,1613654600
3/1/2022,3837.5,4050,3750,3950,3412.63,3223316400
4/1/2022,3950,4537.5,3787.5,4475,4050.53,2690531800
5/1/2022,4475,4475,3862.5,4250,3846.87,2869860400
6/1/2022,4250,4250,3950,3962.5,3586.64,2637474000
7/1/2022,3937.5,4175,3587.5,4137.5,3745.04,2535249400
8/1/2022,4100,4425,3987.5,4425,4005.27,1877599600
9/1/2022,4425,4800,4337.5,4712.5,4265.5,2487323600
10/1/2022,4662.5,5275,4612.5,5275,4774.64,1840315200
11/1/2022,5300,5400,4925,5262.5,4763.33,2183194400
12/1/2022,5262.5,5500,4887.5,4962.5,4491.79,3147393000
1/1/2023,4962.5,5075,4450,4975,4503.1,2197536200
2/1/2023,4975,5275,4787.5,5000,4525.73,1753691800
3/1/2023,5075,5475,4912.5,5162.5,4672.82,2540082200
4/1/2023,5200,5425,5050,5175,4923.22,1299828600
5/1/2023,5175,5250,4980,5050,4804.3,2053623000
6/1/2023,5050,5250,4950,5200,4947,1800300100
7/1/2023,5125,5800,5125,5725,5446.46,2190789600
8/1/2023,5650,6100,5600,6025,5731.86,1840293300
9/1/2023,6075,6150,5775,6025,5731.86,1413167200
10/1/2023,6025,6200,5625,5675,5398.89,1572859200
11/1/2023,5700,5975,5625,5850,5565.37,1150273100
12/1/2023,5850,6150,5650,6050,5755.64,1469376300
1/1/2024,6050,6700,6025,6650,6326.45,1955582700
2/1/2024,6575,7400,6500,7000,6659.42,2064026600
3/1/2024,7050,7500,6950,7250,6897.26,1770671300
4/1/2024,7250,7250,6300,6900,6900,1789094100
5/1/2024,6800,6800,5525,5900,5900,3330007700
